setting,set_heads,hidden_dim,val_acc,test_acc
slow,16,128,100.000,87.565
slow,16,128,100.000,87.565
slow,16,128,100.000,87.565
slow,16,128,100.000,87.565
slow,16,128,100.000,87.565
slow,16,128,100.000,87.565
slow,16,128,100.000,87.565
slow,16,128,100.000,87.565
slow,16,128,100.000,87.565
slow,16,128,100.000,87.565
mid,16,128,100.000,81.779
mid,16,128,100.000,81.779
mid,16,128,100.000,81.779
mid,16,128,100.000,81.779
mid,16,128,100.000,81.779
mid,16,128,100.000,81.779
mid,16,128,100.000,81.779
mid,16,128,100.000,81.779
mid,16,128,100.000,81.779
mid,16,128,100.000,81.779
