n_segments,alphabet_size,n_heads,set_transf_hidden,lr,val_acc,test_acc
4,4,4,128,0.0001,53.78 ± 0.36,58.72 ± 0.00
4,8,4,128,0.0001,54.05 ± 0.90,58.50 ± 0.45
4,16,4,128,0.0001,65.59 ± 12.99,61.19 ± 7.64
4,32,4,128,0.0001,76.31 ± 0.54,73.45 ± 0.62
4,64,4,128,0.0001,81.53 ± 0.00,72.90 ± 0.60
8,4,4,128,0.0001,56.13 ± 0.36,50.28 ± 0.14
8,8,4,128,0.0001,65.05 ± 2.48,62.12 ± 2.26
8,16,4,128,0.0001,80.00 ± 0.88,80.14 ± 0.43
8,32,4,128,0.0001,89.64 ± 0.99,82.37 ± 0.28
8,64,4,128,0.0001,91.89 ± 0.49,85.92 ± 0.36
16,4,4,128,0.0001,63.42 ± 2.87,69.22 ± 2.92
16,8,4,128,0.0001,75.41 ± 0.54,80.54 ± 2.32
16,16,4,128,0.0001,94.50 ± 0.18,92.66 ± 0.38
16,32,4,128,0.0001,97.93 ± 0.22,93.28 ± 0.63
16,64,4,128,0.0001,98.92 ± 0.84,96.77 ± 0.22
32,4,4,128,0.0001,91.17 ± 0.22,86.84 ± 0.38
32,8,4,128,0.0001,89.91 ± 5.54,84.35 ± 1.48
32,16,4,128,0.0001,97.75 ± 0.40,91.11 ± 0.31
32,32,4,128,0.0001,98.29 ± 0.18,98.79 ± 0.15
32,64,4,128,0.0001,99.19 ± 0.53,98.31 ± 0.19
64,4,4,128,0.0001,85.95 ± 0.96,76.34 ± 1.28
64,8,4,128,0.0001,91.80 ± 0.44,80.24 ± 1.43
64,16,4,128,0.0001,97.48 ± 0.22,90.28 ± 1.35
64,32,4,128,0.0001,99.01 ± 0.18,94.63 ± 0.43
64,64,4,128,0.0001,98.74 ± 0.18,95.54 ± 0.64
128,4,4,128,0.0001,88.02 ± 1.16,93.89 ± 1.16
128,8,4,128,0.0001,90.36 ± 0.46,90.64 ± 0.97
128,16,4,128,0.0001,97.84 ± 0.72,97.31 ± 0.31
128,32,4,128,0.0001,98.65 ± 0.00,97.88 ± 0.14
128,64,4,128,0.0001,98.74 ± 0.34,97.53 ± 0.29
256,4,4,128,0.0001,91.71 ± 0.36,93.96 ± 0.76
256,8,4,128,0.0001,92.07 ± 0.22,90.48 ± 0.63
256,16,4,128,0.0001,97.66 ± 0.34,97.98 ± 0.28
256,32,4,128,0.0001,99.10 ± 0.00,97.63 ± 0.09
256,64,4,128,0.0001,98.83 ± 0.22,97.43 ± 0.18
512,4,4,128,0.0001,90.90 ± 0.60,94.77 ± 0.31
512,8,4,128,0.0001,91.08 ± 0.34,89.86 ± 0.70
512,16,4,128,0.0001,97.93 ± 0.22,97.48 ± 0.40
512,32,4,128,0.0001,99.10 ± 0.00,97.93 ± 0.11
512,64,4,128,0.0001,98.74 ± 0.34,97.88 ± 0.18

