used_model,n_heads,set_transf_hidden,val_acc,test_acc
0,4,128,92.07 ± 3.78,78.27 ± 5.30
0,4,256,91.85 ± 3.65,78.72 ± 7.74
0,4,512,91.86 ± 3.63,78.96 ± 7.97
0,8,128,91.91 ± 3.63,78.79 ± 7.80
0,8,256,91.86 ± 3.64,78.86 ± 7.88
0,8,512,91.86 ± 3.63,78.96 ± 7.97
0,16,128,91.89 ± 3.60,78.86 ± 7.88
0,16,256,91.86 ± 3.64,78.90 ± 7.91
0,16,512,91.86 ± 3.63,78.96 ± 7.97
1,4,128,91.88 ± 3.61,78.89 ± 7.91
1,4,256,91.86 ± 3.64,78.92 ± 7.93
1,4,512,91.86 ± 3.63,78.96 ± 7.97
1,8,128,91.88 ± 3.62,78.91 ± 7.92
1,8,256,91.86 ± 3.64,78.92 ± 7.94
1,8,512,91.86 ± 3.63,78.96 ± 7.97
1,16,128,91.88 ± 3.62,78.92 ± 7.93
1,16,256,91.86 ± 3.64,78.93 ± 7.95
1,16,512,91.86 ± 3.63,78.96 ± 7.97
2,4,128,91.87 ± 3.62,78.92 ± 7.94
2,4,256,91.86 ± 3.64,78.93 ± 7.95
2,4,512,91.86 ± 3.63,78.96 ± 7.97
2,8,128,91.87 ± 3.62,78.93 ± 7.94
2,8,256,91.86 ± 3.63,78.94 ± 7.95
2,8,512,91.86 ± 3.63,78.96 ± 7.97
2,16,128,91.87 ± 3.63,78.93 ± 7.95
2,16,256,91.86 ± 3.63,78.94 ± 7.96
2,16,512,91.86 ± 3.63,78.96 ± 7.97
